Standort	Geo_Breite	Geo_Laenge
Traunstein-Axdorf	47.852	12.618
Travemünde	53.962	10.889
Trent	54.534	13.246
Tribsees	54.065	12.765
Trier-Zewen	49.733	6.613
Trier-Petrisberg	49.748	6.658
Trollenhagen	53.600	13.304
Tübingen	48.520	9.052
Tuttlingen	48.008	8.818
Tuttlingen-Möhringen-Vorstadt	47.968	8.790
Twistetal-Mühlhausen	51.334	8.913
Überlingen/Bodensee	47.771	9.156
Ueckermünde	53.745	14.070
Uelzen	52.941	10.529
Ulm	48.384	9.952
Ummendorf	52.160	11.176
Uttenreuth	49.593	11.070
Vogtsburg-Oberrotweil	48.091	7.635
Wahlen	50.812	9.128
Wesertal-Lippoldsberg	51.619	9.575
Waldachtal-Lützenhardt	48.492	8.561
Waldems-Reinborn	50.260	8.361
Waldhäuser (National Park)	48.929	13.464
Warburg	51.504	9.112
Waren (Müritz)	53.520	12.665
Wasserkuppe	50.497	9.943
Weiden	49.666	12.184
Weihenstephan-Dürnast	48.402	11.695
Weimar	50.975	11.308
Weimar-Schöndorf	51.018	11.354
Weinbiet	49.376	8.121
Weinsberg	49.151	9.292
Weiskirchen/Saar	49.553	6.812
Weißenburg-Emetzheim	49.011	10.931
Wellmitz	52.065	14.690
Wendelstein	47.703	12.012
Werl	51.576	7.888
Wernigerode	51.845	10.769
Wertheim-Eichel	49.767	9.543
Fehmarn	54.528	11.061
Wielenbach (Demollstr.)	47.883	11.158
Wiesbaden (Süd)	50.065	8.260
Wiesenburg	52.121	12.459
Neubulach-Oberhaugstett	48.652	8.680
Wildungen, Bad	51.106	9.108
Willingen/Upland	51.294	8.603
Wittenberg	51.889	12.645
Wittmundhafen	53.544	7.662
Wittstock-Rote Mühle	53.186	12.495
Wörnitz-Bottenweiler	49.218	10.230
Wolfach	48.295	8.239
Wolfegg	47.818	9.797
Wolfsburg	52.441	10.759
Würzburg	49.770	9.958
Wunstorf	52.463	9.425
Wrixum/Föhr	54.693	8.527
Zehdenick	52.966	13.327
Zinnwald-Georgenfeld	50.731	13.752
Zugspitze	47.421	10.985
Lichtentanne	50.688	12.433
Zwiesel	49.028	13.239
Zwieselberg	49.001	13.214
Bassum	52.863	8.699
Berge	52.620	12.787
Emden	53.388	7.229
Fürstenzell	48.545	13.353
Hahn	49.946	7.264
Kohlgrub, Bad (A)	47.678	11.047
Mainburg	48.649	11.777
Mannheim	49.506	8.558
Schönhagen (Ostseebad)	54.641	10.024
Reit im Winkl	47.675	12.470
Ostenfeld (Rendsburg)	54.319	9.805
Grambow-Schwennenz	53.384	14.373
Medow-Wussentin	53.855	13.495
